Regione;Imprese_VA;Imprese_Perc;Addetti_VA;Addetti_Perc
Piemonte;325839;7.4;1311011;7.9
Valle d'Aosta;11221;0.3;36426;0.2
Liguria;124011;2.8;406025;2.4
Lombardia;814867;18.6;3896410;23.4
Trentino-Alto Adige;85138;1.9;361303;2.2
Veneto;394451;9.0;1654487;9.9
Friuli Venezia Giulia;83702;1.9;351875;2.1
Emilia-Romagna;368153;8.4;1551470;9.3
Toscana;322887;7.4;1101852;6.6
Umbria;66804;1.5;229548;1.4
Marche;125861;2.9;427163;2.6
Lazio;436430;9.9;1868354;11.2
Abruzzo;98008;2.2;301550;1.8
Molise;20794;0.5;52488;0.3
Campania;344353;7.8;1027665;6.2
Puglia;252478;5.8;730704;4.4
Basilicata;34986;0.8;102330;0.6
Calabria;108336;2.5;262247;1.6
Sicilia;268790;6.1;721707;4.3
Sardegna;103802;2.4;289904;1.7
