"ITTER107"	"Territorio"	"TIPO_DATO_ISTR"	"Tipo dato"	"SEXISTAT1"	"Sesso"	"CITTADINANZA"	"Cittadinanza"	"ORDINESCOL2"	"Ordine scolastico"	"NATGIUR1"	"Gestione della scuola"	"TIME"	"Seleziona anno (anno t= anno sc. t-1 / t)"	"Value"	"Flag Codes"	"Flags"
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	487964		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	447325		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	935289		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	423071		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	387067		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	810138		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	64893		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	60258		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	125151		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	201824		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	189062		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	390886		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	689788		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	636387		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	1326175		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	101492		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	93742		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	195234		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	82824		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	76369		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	159193		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	18668		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	17373		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	36041		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	68362		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	64551		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	132913		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	169854		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	158293		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	328147		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	31876		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	29799		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	61675		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	29132		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	27260		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"STA"	"statale"	"2018"	"2018"	56392		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	2744		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	2539		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	5283		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	13661		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	12995		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	26656		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	45537		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	42794		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"ALL"	"totale"	"2018"	"2018"	88331		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	1241		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	1170		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB"	"pubblica"	"2018"	"2018"	2411		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	1241		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	1170		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	2411		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	247		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRE"	"infanzia"	"PRI"	"privata"	"2018"	"2018"	242		
