"ITTER107"	"Territorio"	"TIPO_DATO_ISTR"	"Tipo dato"	"SEXISTAT1"	"Sesso"	"CITTADINANZA"	"Cittadinanza"	"ORDINESCOL2"	"Ordine scolastico"	"NATGIUR1"	"Gestione della scuola"	"TIME"	"Seleziona anno (anno t= anno sc. t-1 / t)"	"Value"	"Flag Codes"	"Flags"
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	1175147		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	1105561		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	2280708		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	1148776		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	1080719		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	2229495		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	26371		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	24842		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	51213		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PRI"	"privata"	"2018"	"2018"	85205		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PRI"	"privata"	"2018"	"2018"	80326		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PRI"	"privata"	"2018"	"2018"	165531		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"ALL"	"totale"	"2018"	"2018"	1260352		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"ALL"	"totale"	"2018"	"2018"	1185887		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"ALL"	"totale"	"2018"	"2018"	2446239		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	285391		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	268092		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	553483		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	282788		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	265626		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	548414		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	2603		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	2466		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	5069		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PRI"	"privata"	"2018"	"2018"	27842		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PRI"	"privata"	"2018"	"2018"	26110		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PRI"	"privata"	"2018"	"2018"	53952		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"ALL"	"totale"	"2018"	"2018"	313233		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"ALL"	"totale"	"2018"	"2018"	294202		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"ALL"	"totale"	"2018"	"2018"	607435		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	77193		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	72224		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PUB"	"pubblica"	"2018"	"2018"	149417		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	77193		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	72224		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"PRI"	"primaria"	"STA"	"statale"	"2018"	"2018"	149417		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PRI"	"privata"	"2018"	"2018"	5444		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"PRI"	"primaria"	"PRI"	"privata"	"2018"	"2018"	5146		
