"ITTER107"	"Territorio"	"TIPO_DATO_ISTR"	"Tipo dato"	"SEXISTAT1"	"Sesso"	"CITTADINANZA"	"Cittadinanza"	"ORDINESCOL2"	"Ordine scolastico"	"NATGIUR1"	"Gestione della scuola"	"TIME"	"Seleziona anno (anno t= anno sc. t-1 / t)"	"Value"	"Flag Codes"	"Flags"
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	774053		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	720608		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	1494661		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	757799		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	705642		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	1463441		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	16254		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	14966		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	31220		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	33077		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	29719		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	62796		
"IT"	"Italia"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	807130		
"IT"	"Italia"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	750327		
"IT"	"Italia"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	1557457		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	180892		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	168760		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	349652		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	179163		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	167197		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	346360		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	1729		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	1563		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	3292		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	16809		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	14982		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	31791		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	197701		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	183742		
"ITC"	"Nord-ovest"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	381443		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	49492		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	45995		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	95487		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	49492		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	45995		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	95487		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	3068		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	2501		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	5569		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	52560		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	48496		
"ITC1"	"Piemonte"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	101056		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	1707		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	1546		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	3253		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	1707		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	1546		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB_NSTA"	"non statale pubblica"	"2018"	"2018"	3253		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	1786		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	1617		
"ITC2"	"Valle d'Aosta / Vallée d'Aoste"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	3403		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	16555		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	15278		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PUB"	"pubblica"	"2018"	"2018"	31833		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	16555		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	15278		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"STA"	"statale"	"2018"	"2018"	31833		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	843		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"F"	"femmine"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	795		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"T"	"totale"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"PRI"	"privata"	"2018"	"2018"	1638		
"ITC3"	"Liguria"	"ENR"	"iscritti "	"M"	"maschi"	"ITL"	"italiano-a"	"LOW"	"secondaria I grado"	"ALL"	"totale"	"2018"	"2018"	17398		
