Regione;scuole_infanzia;classi_infanzia;iscritti_infanzia;scuole_primaria;classi_primaria;iscritti_primaria;scuole_secondariaI;classi_secondariaI;iscritti_secondariaI;scuole_secondariaII;classi_secondariaII;iscritti_secondariaII
Piemonte;1648;4696;104105;1343;10020;188516;571;5571;116875;402;8311;174002
Valle d'Aosta/Vallée d'Aoste;90;177;3172;84;394;5888;21;177;3600;27;291;5594
Liguria;541;1475;32611;465;3211;59997;193;1785;38344;139;2833;61284
Lombardia;3064;10809;251775;2411;23146;472375;1289;13239;288170;996;18637;396638
Trentino Alto Adige;610;1494;31921;541;3362;54659;175;1672;34087;93;2266;41290
Veneto;1738;5517;122693;1465;11848;227871;653;6637;142467;457;9648;207909
Friuli Venezia Giulia;479;1337;27874;387;2854;50896;168;1564;31884;137;2565;48844
Emilia-Romagna;1544;4619;107132;1010;9740;202540;481;5445;121675;354;8543;188725
Toscana;1346;3858;86933;1012;7980;161332;423;4545;100108;370;7887;161113
Umbria;391;956;21407;295;2164;38522;115;1137;23873;97;1839;37683
Marche;588;1655;37445;450;3610;67727;228;1925;41516;188;3478;70626
Lazio;1801;6278;138242;1336;13506;267641;661;7685;162484;665;12293;250744
Abruzzo;583;1503;32655;418;3090;55946;220;1762;34725;158;2867;56746
Molise;155;350;6668;127;765;11635;72;411;7679;48;704;13764
Campania;2598;8414;159400;1809;16519;293565;784;9675;193447;898;16166;323332
Puglia;1433;4830;100804;768;9326;184765;426;5604;120882;505;9833;205887
Basilicata;260;653;12767;201;1365;23003;137;837;15486;108;1549;29642
Calabria;1229;2701;50930;843;5447;86539;453;3069;56402;310;5040;95533
Sicilia;2244;6528;127227;1488;12871;235394;673;7733;156039;741;12547;245330
Sardegna;724;1797;35529;495;3755;65246;321;2266;41529;215;3940;73062
