"Comune";"Provincia";"Regione";"Nome";"Anno inserimento";"Data e ora inserimento";"Identificatore in OpenStreetMap";"Longitudine";"Latitudine";
"ALTRO";"ALTRO";"ALTRO";"Albonago";"2014";"2014-11-11T16:22:37Z";"984003073";"8.9750146";"46.0085186";
"ALTRO";"ALTRO";"ALTRO";"Camedo";"2014";"2014-05-04T21:49:40Z";"2836876118";"8.610916";"46.1547927";
"ALTRO";"ALTRO";"ALTRO";"Campocologno";"2013";"2013-03-16T19:55:46Z";"299357596";"10.1416942";"46.2334804999999";
"ALTRO";"ALTRO";"ALTRO";"Chiasso";"2015";"2015-01-05T18:37:49Z";"3092179807";"9.0318628";"45.8321292999999";
"ALTRO";"ALTRO";"ALTRO";"Kreplje";"2013";"2013-11-06T22:41:25Z";"1867264786";"13.8273943999999";"45.7421513";
"ALTRO";"ALTRO";"ALTRO";"Le Nid d'Aigle";"2015";"2015-07-17T14:59:38Z";"281398821";"6.7985796";"45.8584110999999";
"ALTRO";"ALTRO";"ALTRO";"Monte Brè Vetta";"2015";"2015-09-01T10:59:34Z";"299270349";"8.98608849999999";"46.0092202";
"ALTRO";"ALTRO";"ALTRO";"Nova Gorica";"2014";"2014-04-09T19:27:08Z";"1864393414";"13.6353357";"45.9552192";
"ALTRO";"ALTRO";"ALTRO";"Ponte Tresa";"2016";"2016-01-09T18:09:01Z";"273490214";"8.8603547";"45.9699324999999";
"ALTRO";"ALTRO";"ALTRO";"Se?ana";"2012";"2012-12-31T15:11:43Z";"275403778";"13.8633664";"45.7040708999999";
"ALTRO";"ALTRO";"ALTRO";"Sillian";"2014";"2014-08-16T17:02:50Z";"3020677273";"12.4250865";"46.7456172999999";
"ALTRO";"ALTRO";"ALTRO";"Solkan";"2015";"2015-04-11T12:40:30Z";"1867261625";"13.6462534";"45.9726247999999";
"ALTRO";"ALTRO";"ALTRO";"Stabio";"2014";"2014-11-30T09:41:56Z";"3114699244";"8.9444411";"45.8498651";
